PID,DN,DP,TN,RL,nik,origin_scheme,origin_host,origin_port,group_name,is_include_subdomains,expires_us_since_epoch,last_access_us_since_epoch
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 1)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270191772222966)","(last_access_us_since_epoch, 13270191472222966)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 2)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270190897730322)","(last_access_us_since_epoch, 13270190597730322)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 3)","(nik, [])","(origin_scheme, https)","(origin_host, cdnjs.cloudflare.com)","(origin_port, 443)","(group_name, cf-nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270795204369736)","(last_access_us_since_epoch, 13270190404369736)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 4)","(nik, [])","(origin_scheme, https)","(origin_host, google.com)","(origin_port, 443)","(group_name, nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270191158686965)","(last_access_us_since_epoch, 13270191082136970)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 5)","(nik, [])","(origin_scheme, https)","(origin_host, ka-f.fontawesome.com)","(origin_port, 443)","(group_name, cf-nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13262673770292228)","(last_access_us_since_epoch, 13262068970292228)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 6)","(nik, [])","(origin_scheme, https)","(origin_host, a.clickcertain.com)","(origin_port, 443)","(group_name, cf-nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13266956204041550)","(last_access_us_since_epoch, 13266351404041550)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 7)","(nik, [])","(origin_scheme, https)","(origin_host, beacons4.gvt2.com)","(origin_port, 443)","(group_name, nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270190030818239)","(last_access_us_since_epoch, 13270189730818239)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 8)","(nik, [])","(origin_scheme, https)","(origin_host, ad.atdmt.com)","(origin_port, 443)","(group_name, coep_report)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13264031723178824)","(last_access_us_since_epoch, 13263945323178824)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 9)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gvt2.com)","(origin_port, 443)","(group_name, nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270190897716263)","(last_access_us_since_epoch, 13270190717423044)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoint_groups)","(RL, 10)","(nik, [])","(origin_scheme, https)","(origin_host, beacons2.gvt2.com)","(origin_port, 443)","(group_name, nel)","(is_include_subdomains, 0)","(expires_us_since_epoch, 13270191077769510)","(last_access_us_since_epoch, 13270190777769510)"
