PID,DN,DP,TN,RL,start_time,items_under_header
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 1)","(start_time, 1617422400000)","(items_under_header, 4)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 2)","(start_time, 1617681600000)","(items_under_header, 2)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 3)","(start_time, 1618113600000)","(items_under_header, 2)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 4)","(start_time, 1618459200000)","(items_under_header, 4)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 5)","(start_time, 1621051200000)","(items_under_header, 6)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 6)","(start_time, 1621396800000)","(items_under_header, 7)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 7)","(start_time, 1623643200000)","(items_under_header, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 8)","(start_time, 1623729600000)","(items_under_header, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 9)","(start_time, 1617508800000)","(items_under_header, 15)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 10)","(start_time, 1622952000000)","(items_under_header, 16)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 11)","(start_time, 1623902400000)","(items_under_header, 2)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 12)","(start_time, 1625112000000)","(items_under_header, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 13)","(start_time, 1625284800000)","(items_under_header, 14)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 14)","(start_time, 1625457600000)","(items_under_header, 8)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 15)","(start_time, 1625630400000)","(items_under_header, 7)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, day_segmented_date_headers)","(RL, 16)","(start_time, 1626753600000)","(items_under_header, 1)"
