PID,DN,DP,TN,RL,name,work_spec_id
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 1)","(name, MetaSyncWorker)","(work_spec_id, e81695a9-e44a-422d-9b5b-939a40e17a6d)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 2)","(name, LPBJ_IDLE_AND_CHARGING_WORKER)","(work_spec_id, cfc7bedf-7cb9-40ea-873f-4f78e4c66a3d)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 3)","(name, LPBJ_CHARGING_ONLY_WORKER)","(work_spec_id, 4ab6960a-c528-4464-9ccf-89fc2d4c8e54)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 4)","(name, MDD.CHARGING.PERIODIC.TASK)","(work_spec_id, ff07a3df-6beb-4f53-9254-6afbf58171ec)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 5)","(name, MDD.MAINTENANCE.PERIODIC.GCM.TASK)","(work_spec_id, c6d18ae3-07a6-44ee-aac9-33db8e29d418)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 6)","(name, MDD.CELLULAR.CHARGING.PERIODIC.TASK)","(work_spec_id, 9d7e7fce-6096-467c-90f2-b7f5991defdc)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 7)","(name, MDD.WIFI.CHARGING.PERIODIC.TASK)","(work_spec_id, 407e709d-a360-435a-9302-73024b28c3ce)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 8)","(name, FpEligibilityJobService0)","(work_spec_id, 04c8ef88-a742-4399-817c-4409f89cb257)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 9)","(name, LPBJ_DELAYED_WORKER)","(work_spec_id, d3b1ca88-b74c-4618-a247-2637933bc589)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 10)","(name, OptimisticActionWorker)","(work_spec_id, f065bc3e-dae4-4a02-b5a9-4c1c239df65d)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 11)","(name, FindLocalMediaForFreeUpSpaceBarWorker)","(work_spec_id, 61d168a8-696f-4e76-8b3a-94d965bb08d6)"
"(PID, com.google.android.apps.photos)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 12)","(name, LPBJ_NOT_LOW_BATTERY_WORKER)","(work_spec_id, a7c99e88-e901-465a-ad74-6e02c9c820da)"
