PID,DN,DP,TN,RL,processor_id
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 1)","(processor_id, COLLECTION_AUDIENCE_PROCESSOR)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 2)","(processor_id, DIMENSIONS_PROCESSOR)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 3)","(processor_id, ALBUM_ORDER_PROCESSOR)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 4)","(processor_id, ASSOCIATED_ENVELOPE_PROCESSOR)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 5)","(processor_id, ALBUM_SORT_KEY_PROCESSOR)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 6)","(processor_id, COMPOSITION_TYPE_PROCESSOR)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 7)","(processor_id, COLLECTIONS_COMPOSITION_STATE_PROCESSOR2)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 8)","(processor_id, REMOTE_COMPOSITION_STATE_PROCESSOR2)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 9)","(processor_id, SHARED_COMPOSITION_STATE_PROCESSOR2)"
"(PID, com.google.android.apps.photos)","(DN, gphotos-1.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos-1.db)","(TN, obsolete_processor_ids)","(RL, 10)","(processor_id, REMOTE_MIME_TYPE_PROCESSOR)"
