PID,DN,DP,TN,RL,nik,origin_scheme,origin_host,origin_port,received_ip_address,group_name,expires_us_since_epoch,success_fraction,failure_fraction,is_include_subdomains,last_access_us_since_epoch
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 1)","(nik, [])","(origin_scheme, https)","(origin_host, ka-f.fontawesome.com)","(origin_port, 443)","(received_ip_address, 2606:4700:e6::ac40:ca1c)","(group_name, cf-nel)","(expires_us_since_epoch, 13262673770292387)","(success_fraction, 0.0)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13262068970407123)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 2)","(nik, [])","(origin_scheme, https)","(origin_host, www.mintahoe.com)","(origin_port, 443)","(received_ip_address, 104.26.14.68)","(group_name, cf-nel)","(expires_us_since_epoch, 13263669269712217)","(success_fraction, 0.0)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13263064469713445)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 3)","(nik, [])","(origin_scheme, https)","(origin_host, ad4m.at)","(origin_port, 443)","(received_ip_address, 104.26.10.209)","(group_name, report-endpoint)","(expires_us_since_epoch, 13264031727064142)","(success_fraction, 0.0)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13263945327067129)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 4)","(nik, [])","(origin_scheme, https)","(origin_host, as.ad4m.at)","(origin_port, 443)","(received_ip_address, 104.26.10.209)","(group_name, report-endpoint)","(expires_us_since_epoch, 13264032628032150)","(success_fraction, 0.0)","(failure_fraction, 1.0)","(is_include_subdomains, 1)","(last_access_us_since_epoch, 13263946228032355)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 5)","(nik, [])","(origin_scheme, https)","(origin_host, www-macrumors-com.cdn.ampproject.org)","(origin_port, 443)","(received_ip_address, 2607:f8b0:4004:807::2001)","(group_name, nel)","(expires_us_since_epoch, 13266217589669343)","(success_fraction, 0.05)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13265612789973889)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 6)","(nik, [])","(origin_scheme, https)","(origin_host, www-theverge-com.cdn.ampproject.org)","(origin_port, 443)","(received_ip_address, 2607:f8b0:4004:807::2001)","(group_name, nel)","(expires_us_since_epoch, 13266217596014480)","(success_fraction, 0.05)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13265612796039468)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 7)","(nik, [])","(origin_scheme, https)","(origin_host, beacons5.gvt2.com)","(origin_port, 443)","(received_ip_address, 2607:7700:0:24:0:1:d8ef:2074)","(group_name, nel)","(expires_us_since_epoch, 13265614385600540)","(success_fraction, 0.25)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13265614085600756)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 8)","(nik, [])","(origin_scheme, https)","(origin_host, en.m.wikipedia.org)","(origin_port, 443)","(received_ip_address, 2620:0:861:ed1a::1)","(group_name, wm_nel)","(expires_us_since_epoch, 13266437708899605)","(success_fraction, 0.0)","(failure_fraction, 0.05)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13266351308907974)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 9)","(nik, [])","(origin_scheme, https)","(origin_host, www-greenbot-com.cdn.ampproject.org)","(origin_port, 443)","(received_ip_address, 2607:f8b0:4004:815::2001)","(group_name, nel)","(expires_us_since_epoch, 13266956130161507)","(success_fraction, 0.05)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13266351330169660)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, nel_policies)","(RL, 10)","(nik, [])","(origin_scheme, https)","(origin_host, ssl-market-east-5.smrtb.com)","(origin_port, 443)","(received_ip_address, 2606:4700:20::ac43:4ae9)","(group_name, cf-nel)","(expires_us_since_epoch, 13266956165031309)","(success_fraction, 0.0)","(failure_fraction, 1.0)","(is_include_subdomains, 0)","(last_access_us_since_epoch, 13266351365031334)"
