PID,DN,DP,TN,RL,nik,origin_scheme,origin_host,origin_port,group_name,url,priority,weight
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 1)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons.gcp.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 2)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 3)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons2.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 4)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons3.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 5)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons4.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 6)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons5.gvt2.com/domainreliability/upload-nel)","(priority, 2)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 7)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons5.gvt3.com/domainreliability/upload-nel)","(priority, 2)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 8)","(nik, [])","(origin_scheme, https)","(origin_host, beacons.gcp.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://clients2.google.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 9)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons.gcp.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 10)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 11)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons2.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 12)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons3.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 13)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons4.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 14)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons5.gvt2.com/domainreliability/upload-nel)","(priority, 2)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 15)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons5.gvt3.com/domainreliability/upload-nel)","(priority, 2)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 16)","(nik, [])","(origin_scheme, https)","(origin_host, beacons3.gvt2.com)","(origin_port, 443)","(group_name, nel)","(url, https://clients2.google.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
"(PID, com.android.chrome)","(DN, Reporting and NEL)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Reporting and NEL)","(TN, reporting_endpoints)","(RL, 17)","(nik, [])","(origin_scheme, https)","(origin_host, google.com)","(origin_port, 443)","(group_name, nel)","(url, https://beacons.gcp.gvt2.com/domainreliability/upload-nel)","(priority, 1)","(weight, 1)"
