Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,id,name,seoName,cpoPartner,popular,makeType
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 1)","(id, 1)","(name, Acura)","(seoName, Acura)","(cpoPartner, 0)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 2)","(id, 2)","(name, Audi)","(seoName, Audi)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 3)","(id, 3)","(name, BMW)","(seoName, BMW)","(cpoPartner, 0)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 4)","(id, 4)","(name, Buick)","(seoName, Buick)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 5)","(id, 5)","(name, Cadillac)","(seoName, Cadillac)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 6)","(id, 6)","(name, Chevrolet)","(seoName, Chevrolet)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 7)","(id, 7)","(name, Chrysler)","(seoName, Chrysler)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 8)","(id, 8)","(name, Dodge)","(seoName, Dodge)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 9)","(id, 9)","(name, Ford)","(seoName, Ford)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, makes)","(Line ID, 10)","(id, 10)","(name, GMC)","(seoName, GMC)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
