Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,id,name,seoName
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 1)","(id, 1)","(name, Chassis)","(seoName, Chassis)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 2)","(id, 2)","(name, Convertible)","(seoName, Convertible)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 3)","(id, 3)","(name, Coupe)","(seoName, Coupe)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 4)","(id, 4)","(name, Hatchback)","(seoName, Hatchback)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 5)","(id, 5)","(name, Minivan)","(seoName, Minivan)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 6)","(id, 6)","(name, Pickup)","(seoName, Pickup)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 7)","(id, 7)","(name, Sedan)","(seoName, Sedan)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 8)","(id, 8)","(name, SUV)","(seoName, SUV)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 9)","(id, 9)","(name, Van)","(seoName, Van)"
"(Package Name, com.carfax.consumer)","(Original Database Name, room-ucl-db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(Table Name, body_types)","(Line ID, 10)","(id, 10)","(name, Wagon)","(seoName, Wagon)"
