PID,DN,DP,TN,RL,timeline_id,feedback_action_id
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 1)","(timeline_id, 2359)","(feedback_action_id, 1522)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 2)","(timeline_id, 2359)","(feedback_action_id, 1523)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 3)","(timeline_id, 2361)","(feedback_action_id, 1524)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 4)","(timeline_id, 2364)","(feedback_action_id, 1527)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 5)","(timeline_id, 2365)","(feedback_action_id, 1528)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 6)","(timeline_id, 2365)","(feedback_action_id, 1529)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 7)","(timeline_id, 2366)","(feedback_action_id, 1530)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 8)","(timeline_id, 2367)","(feedback_action_id, 1531)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 9)","(timeline_id, 2368)","(feedback_action_id, 1532)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 10)","(timeline_id, 2369)","(feedback_action_id, 1533)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 11)","(timeline_id, 2370)","(feedback_action_id, 1534)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 12)","(timeline_id, 2371)","(feedback_action_id, 1535)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 13)","(timeline_id, 2372)","(feedback_action_id, 1536)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 14)","(timeline_id, 2373)","(feedback_action_id, 1537)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 15)","(timeline_id, 2374)","(feedback_action_id, 1538)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 16)","(timeline_id, 2375)","(feedback_action_id, 1539)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-61.db)","(TN, timeline_feedback_actions)","(RL, 17)","(timeline_id, 2376)","(feedback_action_id, 1540)"
