PID,DN,DP,TN,RL,_id,rule_id,config_id,priority,config_result,namespace
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 1)","(_id, 1)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ADS_SYNCER_POLICY)","(priority, -1)","(config_result, ChFBRFNfU1lOQ0VSX1BPTElDWRIMMgoSCAgMEAEYDCAPGgAgkBwqEAAAAAAAAAAAAAAAAAAAAAAw////////////ATgiYLnBCg==)","(namespace, 34)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 2)","(_id, 2)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, AD_LIFECYCLE_WATERMARK_SAMPLING_POLICY)","(priority, -1)","(config_result, CiZBRF9MSUZFQ1lDTEVfV0FURVJNQVJLX1NBTVBMSU5HX1BPTElDWRIWMhQSEgmamZmZmZm5PxEAAAAAAADwPxoAIJAcKhAAAAAAAAAAAAAAAAAAAAAAMP///////////wE4O2CCmgM=)","(namespace, 59)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 3)","(_id, 3)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ALL_UPDATES_SYNCER_POLICY)","(priority, -1)","(config_result, ChlBTExfVVBEQVRFU19TWU5DRVJfUE9MSUNZEgwyChIICAEQARgBIA8aACCQHCoQAAAAAAAAAAAAAAAAAAAAADD///////////8BOAlgusEK)","(namespace, 9)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 4)","(_id, 4)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ANDROID_ATLAS_SCORE_MIGRATION)","(priority, -1)","(config_result, Ch1BTkRST0lEX0FUTEFTX1NDT1JFX01JR1JBVElPThICCAAaACCQHCoQAAAAAAAAAAAAAAAAAAAAADD///////////8BOA1gnOIE)","(namespace, 13)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 5)","(_id, 5)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ANDROID_ATLAS_USER_MIGRATION)","(priority, -1)","(config_result, ChxBTkRST0lEX0FUTEFTX1VTRVJfTUlHUkFUSU9OEgIIABoAIJAcKhAAAAAAAAAAAAAAAAAAAAAAMP///////////wE4DWCd4gQ=)","(namespace, 13)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 6)","(_id, 6)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ANDROID_CRONET_CACHE_SIZE_LIMIT)","(priority, -1)","(config_result, Ch9BTkRST0lEX0NST05FVF9DQUNIRV9TSVpFX0xJTUlUEgQIgIBAGgAgkBwqEAAAAAAAAAAAAAAAAAAAAAAw////////////AWC7eQ==)","(namespace, 0)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 7)","(_id, 7)","(rule_id, AYo5qc1rQy2gFKTpCtJuOg==)","(config_id, ANDROID_CRONET_CACHE_SIZE_LIMIT)","(priority, 2)","(config_result, Ch9BTkRST0lEX0NST05FVF9DQUNIRV9TSVpFX0xJTUlUEgUIgI7OHBoYCAESCRgGIAMqAwiBCBIJGAYgBCoDCIAQIJAcKhABijmpzWtDLaAUpOkK0m46MAJgnG4=)","(namespace, 0)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 8)","(_id, 8)","(rule_id, aD7i4vxRSrCQk2rvxtKQTw==)","(config_id, ANDROID_CRONET_CACHE_SIZE_LIMIT)","(priority, 2)","(config_result, Ch9BTkRST0lEX0NST05FVF9DQUNIRV9TSVpFX0xJTUlUEgUIgMLXLxoJGAYgAyoDCIEQIJAcKhBoPuLi/FFKsJCTau/G0pBPMAJg8nE=)","(namespace, 0)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 9)","(_id, 10)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ANDROID_NO_CLIENT_SAFETY_NET_ON_LOGIN)","(priority, -1)","(config_result, CiVBTkRST0lEX05PX0NMSUVOVF9TQUZFVFlfTkVUX09OX0xPR0lOEgIgARoAIJAcKhAAAAAAAAAAAAAAAAAAAAAAMP///////////wE4DWC/yA4=)","(namespace, 13)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/core.db)","(TN, ConfigRule)","(RL, 10)","(_id, 11)","(rule_id, AAAAAAAAAAAAAAAAAAAAAA==)","(config_id, ANDROID_NO_CLIENT_SAFETY_NET_ON_LOGIN_BYPASS_STRING)","(priority, -1)","(config_result, CjNBTkRST0lEX05PX0NMSUVOVF9TQUZFVFlfTkVUX09OX0xPR0lOX0JZUEFTU19TVFJJTkcSDSoLbWFnaWNTdHJpbmcaACCQHCoQAAAAAAAAAAAAAAAAAAAAADD///////////8BOA1gwMgO)","(namespace, 13)"
