PID,DN,DP,TN,RL,logSourceName,packageName
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 1)","(logSourceName, GMSCORE_SCHEDULER_EVENT)","(packageName, com.google.android.gms.usagereporting)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 2)","(logSourceName, CLIENT_LOGGING_GMSCORE)","(packageName, com.google.android.gms.usagereporting)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 3)","(logSourceName, GMS_CORE)","(packageName, com.google.android.gms.usagereporting)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 4)","(logSourceName, GMSCORE_ANDROID_PRIMES)","(packageName, com.google.android.gms.usagereporting)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 5)","(logSourceName, CLIENT_LOGGING_GMSCORE)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 6)","(logSourceName, GMSCORE_SCHEDULER_EVENT)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 7)","(logSourceName, CLEARCUT_FUNNEL)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 8)","(logSourceName, METALOG_COUNTERS)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 9)","(logSourceName, GMS_CORE)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 10)","(logSourceName, CLEARCUT_LOG_LOSS)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 11)","(logSourceName, GMSCORE_ANDROID_PRIMES)","(packageName, com.google.android.gms.clearcut.public)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 12)","(logSourceName, GMSCORE_SCHEDULER_EVENT)","(packageName, com.google.android.gms.permissions)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 13)","(logSourceName, CLIENT_LOGGING_GMSCORE)","(packageName, com.google.android.gms.permissions)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 14)","(logSourceName, GMS_CORE)","(packageName, com.google.android.gms.permissions)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 15)","(logSourceName, GMSCORE_ANDROID_PRIMES)","(packageName, com.google.android.gms.permissions)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 16)","(logSourceName, GCM_COUNTERS)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 17)","(logSourceName, GCM)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 18)","(logSourceName, CLIENT_LOGGING_GMSCORE)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 19)","(logSourceName, GMSCORE_SCHEDULER_EVENT)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 20)","(logSourceName, STREAMZ_GCM)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 21)","(logSourceName, GMS_CORE)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 22)","(logSourceName, GMSCORE_ANDROID_PRIMES)","(packageName, com.google.android.gms.gcm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 23)","(logSourceName, PHENOTYPE_COUNTERS)","(packageName, com.google.android.gms.phenotype)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 24)","(logSourceName, CLIENT_LOGGING_GMSCORE_PHENOTYPE)","(packageName, com.google.android.gms.phenotype)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 25)","(logSourceName, PHENOTYPE)","(packageName, com.google.android.gms.phenotype)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 26)","(logSourceName, CLIENT_LOGGING_GMSCORE)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 27)","(logSourceName, GMSCORE_SCHEDULER_EVENT)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 28)","(logSourceName, CLEARCUT_FUNNEL)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 29)","(logSourceName, METALOG_COUNTERS)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 30)","(logSourceName, GMS_CORE)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 31)","(logSourceName, CLEARCUT_LOG_LOSS)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 32)","(logSourceName, GMSCORE_ANDROID_PRIMES)","(packageName, com.google.android.gms.playlog.uploader)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user_de/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 33)","(logSourceName, CLEARCUT_BACKSTOP)","(packageName, com.google.android.gms.playlog.uploader)"
