PID,DN,DP,TN,RL,_id,pb,timestamp,operation_status
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 1)","(_id, 1)","(pb, CNfPj8mJLxACIgF6)","(timestamp, 1617476970455)","(operation_status, 2)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 2)","(_id, 2)","(pb, CMbqj8mJLxABGgEwIm0Aeg8EcwzJdoWM5GD9bvAny6YTNpU/H9bYxDGkXPjVd/xrnk7bb3rB9MXBwLQIuAsP3FXiIBV/yY6PJmC3cDpACo/ITori2LVgiYAeBo8jw79Z5J+8FnyGVwvovZFDSLe26xUSQO84RzLD3c79)","(timestamp, 1617476973894)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 3)","(_id, 3)","(pb, COX6j8mJLxABGgEwIm0Aeg8Ec81lIsTIbBkZ9F4GJYYIGlR02YV69pd1H42IUoA/yJYpkJy1DArubKPVZaO/4D039MbnWZhERSEwkPt6PoWqJlhr2G+G88B7xLXTvZ0AQ5gKBkT7H6SxVEJnn7gI/AdKG06/4ZrhjbwV)","(timestamp, 1617476975973)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 4)","(_id, 4)","(pb, CLL5kMmJLxABGgEwIm0Aeg8EcwLogYK90+Zy1oF+0MhjqJW2if2DMtofGGG2xYaTqVBBU2lsd5dAAq892jrXjClajDf2VQ/SfcGke4mLV++ioDwao7v81cZ/yYql1YjdxyvgZ7aLP7hhJhAHDekNO1jmvd/1T3hjZE4h)","(timestamp, 1617476992178)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 5)","(_id, 5)","(pb, COzdlcmJLxABGgEwIm4Aeg8EcwaE33VWrQ9G3rJlu0DeI1kJhTXZS5LbUq81XfGvIRRPkRjSIKrh2/CYAUUH77zgpeMuxsjRVkOHUIGtwGVoZmcycCMovcjOBshJdqdzvE59alzjV+mhWEBCSVDMLPIBrxzyWOQEE0ZtSQ==)","(timestamp, 1617477070572)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 6)","(_id, 6)","(pb, CMz2idaJLxABGgEwIm0Aeg8Ec7FSPtq1oK79Jcey7X5twZ8FkeTqB+fTdFXRsfNf753RYoQwysR5JBXz3+ir1h7OCt1mXQkjQ5342nwC+Oahx0Ryz/D5bkJ9kM9Qf9JUb8WyD+WpduhYVnN8qEfHgUe/3uXoMpSok2HA)","(timestamp, 1617504140108)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 7)","(_id, 7)","(pb, CL+bqd+JLxABGgEwIm4Aeg8Ec+cytd/LHLxG6dFvxb5scISPYxt84Uk9o0JRETixLRr4qzEFlXpilfBGHZj1MJXPwIq6HeRqn8aMe+EYM/keYlOZQlGUK6x82lbriZzy9jAi8aY+NLc47vGDiA4D+MP0JifNGyGqVRUtAw==)","(timestamp, 1617523527103)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 8)","(_id, 8)","(pb, CNqMkfaJLxABGgEwIm0Aeg8Ec79ydUKyvLSs9cY1pu9e7mgt1yC+9XqD9Li33BPqLcPcyD07p/odjzmonOvE4A66VnFF5uyiDbclt7OqCowJSgTf87lcbKP1jCQDoFU8qjIUU10hMW9GKo8pZfq1aKW2IWhNhkil/VSP)","(timestamp, 1617571366490)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 9)","(_id, 9)","(pb, CMmRh6WKLxABGgEwIm0Aeg8Ec383aRXoaq+IhDeDxCYYCsFtMqUJYk3XhCCQEKaJV6xrNyCrq/tUCTvU7hF6xba/Nb2LoJbE0+d/gnyO9qhj2eYwt4ZX5TpNaV5UWCdSbxXetD+KcDlmyZScILRga04DzObWOjObLEDZ)","(timestamp, 1617669769417)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 10)","(_id, 10)","(pb, CO65vMqKLxABGgEwIm4Aeg8Ec2tTlEqMWKL70zb28lBGiACFA2Olcwm2cRp3P4KEW7KSuV2Mgu4gpw6IH8MKm3mFqvptQPXJaWtEpgPzkBteNDl5XxbDA/LkwYu+eF7jt2vOxyglHKMxjc4qwK+liN3zIfrQX3IsgM6jZg==)","(timestamp, 1617748237550)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 11)","(_id, 11)","(pb, CI2B8fKKLxABGgEwIm4Aeg8Ec2snobq9VJxlHH0gFEzRX/LImV9971Ai31YvoSJ/j4h3UcXLhPNl4p71CCbb0Q7pcCGE1n2f4wCUg7crvGuEPI25Ibwd6nelciYHg/CyLJJz2r0Mar6CFvpEZ6RMNAQRB/xlpkBa86Ftnw==)","(timestamp, 1617832984717)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 12)","(_id, 12)","(pb, CJLxupuLLxABGgEwIm0Aeg8Ec9BXOwZp6roKCbJJT+TJyxm8f72NkvhSpQaJu3T7ed2a+I9L/liE/hEXQ5vTTGKyllG0Eq6deSa0Lmk0fB5OGAZQXUcISKpJdC1wt98j9q90bXbLL8Hx4vxeTPH4EV8jIKFCKTQ8c1ND)","(timestamp, 1617918081170)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 13)","(_id, 13)","(pb, CKuv9M2LLxABGgEwIm0Aeg8Ec5JljAwqzrjX0ZAdBb6t6lpVBguSXB61wYqI4EuuoN1t8o+978eLNcjdLvCn4Y7pqQZFzMCbB8KOKzD6YOMOiUmVZ0w/jWi+hh8xhmdMbGsDFCxRIatZPuhHLG40xx7Ny1HhOUveB1c2)","(timestamp, 1618023880619)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 14)","(_id, 14)","(pb, CMeO7e2LLxABGgEwIm4Aeg8Ec4Fql9gBpRiK4wLVwNAaRTudNDJf5assWMxzGBDFCZ64OaBpk36jvi0GceC4uN3DFxfQQlqHxEMmqQuEECxTqMiYE0Wfv/8Sx6S2ROIvDphJh3nxxRzitLkve5ficYh+LYJVN31CaIu7wA==)","(timestamp, 1618090870599)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 15)","(_id, 15)","(pb, COfDuZ2MLxABGgEwIm4Aeg8Eczi6Br0j2Sjqh7/k/98s7WQPJ1M8FpZHYR2u82HD5/yHHNyCjW5Ja0QZ2ketszJUkutH29BLWWiDyb/L48HfjFxNN5RbM34aSkjXY0nnK8q5cekbURe1XNK6eMiWVfhesYKg39v5+TeDXg==)","(timestamp, 1618190688743)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 16)","(_id, 16)","(pb, CJqtkcWMLxABGgEwIm0Aeg8Ec4KLLMF50H9q+c5k46sg5VJaJOdlD03EQqqlq2oo8KZMM1ftT8pSO89MEBViUDwOjfvqahDoaj0VomQd1wzJv43D+YMkAd9NCFajlNqSgBErrcyWnj8BC2OMzA5p/PUCbjuO/ZN+CZuw)","(timestamp, 1618273916570)","(operation_status, 1)"
"(PID, com.google.android.gms)","(DN, gass.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gms/databases/gass.db)","(TN, ad_attestation)","(RL, 17)","(_id, 17)","(pb, CMfri+mMLxABGgEwImwAeg8Ec5aGQiKbpZhJwLaC+t6FRSvXyrei/49WB2isuaV3BBw4l0bYkcxc1roTBsAeMKuAa4MbrqTGydrR3Ggye6PDAIX6xQBjc0+WK9KeAuC+0wYHAhzDwDfnI+N9wW/ZleKlXVqWWLKB8vQ=)","(timestamp, 1618349323719)","(operation_status, 1)"
